,name,lat,lng
0,Aswan Governorate,23.10462130037989,32.4239202
1,Ismailia Governorate,30.367197699708274,32.156546199999994
2,Matrouh Governorate,29.93878159974526,26.489472799999998
3,New Valley Governorate,23.980276300334097,27.726996599999996
4,North Sinai Governorate,30.590347399690547,33.7052032
5,Red Sea Governorate,24.660183100285817,34.139992899999996
6,South Sinai Governorate,29.207675499815963,33.81194409999999
7,Suez Governorate,29.416542699794928,32.1490967
8,Al Beheira Governorate,30.982347899662308,30.1991663
9,Al Masr al Bahari,31.00069879966108,31.0098384
10,Al Sahra al Gharbiyah,27.00000000005787,27.999999999999996
11,Assiout,27.333333000020854,30.833332999999996
12,Atbay,22.000000000408335,34.99999999999999
13,Dakahlieh,30.91320699966701,31.4982162
14,Dakhla Oasis,25.497680400213337,29.022294499999997
15,Desert de Arabique,28.02881019994303,32.00145040000001
16,Eastern Desert,27.963495999950318,31.981870000000004
17,Fuadiya,31.25385799964507,30.8316619
18,Geziret al Uqab,31.216666999647316,30.299999999999997
19,Gizah,29.766657799761116,31.3000264
20,Great Sand Sea,27.00000000005787,26.0
21,Guirgueh,26.559721400105815,31.7681078
22,Hamrayet Shiragi,29.149999999821876,30.716666999999994
23,Iskanderiya,31.16666699965039,29.883332999999997
24,Kalyoubia,30.299999999713826,31.3
25,Matruh,30.00000459973975,28.0000212
26,Mohafazat Sohag,26.441354700118442,31.7046971
27,Mohafazat al Giza,29.76061469976169,31.2983139
28,Mudiriyat al Gharbiyah,30.824450699673218,31.002032
29,Mudiriyat al Minufiyah,30.499999999697586,30.999999999999993
30,Muhafazat Aswan,23.083333000380758,32.66666699999999
31,Muhafazat Asyut,27.29219270002545,30.879283699999995
32,Muhafazat Daqahliyah,30.92109799966647,31.49935629999999
33,Muhafazat Dumyat,31.333332999640408,31.750000000000004
34,Muhafazat Kafr al Shaykh,31.236512399646113,30.834871300000003
35,Muhafazat Matruh,29.995177299740178,28.0096257
36,Muhafazat al Gharbiyah,30.839300299672168,30.996342900000002
37,Muhafazat al Wadi al Jadid,24.98914630025891,29.001954199999997
38,Qena,25.83333300018093,32.75
39,Sharqiya,30.79999999967497,31.8
40,Shibh Geziret Sina,29.499999999786684,34.0
41,South Sinai,28.99999999983744,34.0
42,Upper Egypt,26.000000000164242,31.999999999999993
43,Markaz Samalut,28.283332999914766,30.666667000000004
44,Markaz Shirbin,31.299999999642345,31.583333
45,Markaz Tahta,26.750000000085265,31.466667000000005
46,Nag Hammadi,26.100000000154054,32.08333300000001
47,15th of May City,29.83204179975502,31.364767900000004
48,6th of October,29.97234579974222,30.940920500000004
49,Abu Kabir,30.725169999680407,31.6708449
50,Abu Simbel City,22.356780943939807,31.615640129668783
51,Abu Zenima,29.05116299983209,33.104062
52,Al Arish,31.127250899652868,33.8045859
53,Al Ismailiya,30.60437749968947,32.2770825
54,Al Nubaria,30.666388799684782,30.076575099999996
55,Al Qusair City,26.142786883002717,34.23770502569026
56,Al Shalaten,23.10618320037982,35.5639423
57,Al Tor,28.241666999919374,33.62361099999999
58,Al-Minya,28.08933249993628,30.7570623
59,Al-Obour,30.191399999723,31.450547999999994
60,Al-Qantara Gharb,30.855094499671054,32.3096054
61,Al-Rahmaniya,31.104460532063385,30.64226367272877
62,Al-Zaqaziq,30.585343099690945,31.503512700000005
63,Alexandria,31.19900399964839,29.894377999999993
64,Almunajah Abu Wahsh,30.86452819967039,32.0025482
65,Aswan,24.091071000326956,32.897306
66,Asyut,27.18298569939112,31.17984141082091
67,Az Zarqa,31.20747522148729,31.63554729910391
68,Bahareya Oasis,28.357203199906618,28.862964
69,Banha,30.462497399700563,31.184063
70,Beni Suef,29.07298119982983,31.098256199999994
71,Borg El Arab Industrial Zone,30.83758874937037,29.58345104657295
72,Burg Al Burullous,31.58272799962695,30.977438799999998
73,Cairo,29.984139700161954,31.601534480558108
74,Dahab,28.496363299891367,34.5145652
75,Damanhur,31.037498199658646,30.47106249999999
76,Damietta,31.41674269963571,31.8213657
77,Desouk,31.132787097571484,30.649801071973513
78,El Alamein,30.83394399967254,28.949268
79,El Dakhla Oasis,25.51206220021197,29.258160099999994
80,El Farafra Oasis,27.064173300050783,27.9683927
81,El Mahalla El Kubra,30.97235169966299,31.168300199999997
82,El Qoseir,26.10483600015356,34.279764
83,El Rahmaniya,31.104554899654296,30.6424526
84,Ezbet Abu Wahsh,30.86288807602968,32.00129519814666
85,Faiyum,29.307384099805844,30.839889600000003
86,Giza,29.9870752997409,31.211806300000003
87,"Hala""ib",22.165785775368644,36.67434783496879
88,Hurghada,27.22255600003321,33.8307062
89,Kafr Al-Sheikh,31.108938499654027,30.9426981
90,Kharga Oasis,25.452258300217583,30.541600699999996
91,Luxor,25.7020960001938,32.647186
92,Madinaty,30.09169249973163,31.6238026
93,Mansoura,31.03756599965864,31.386490000000002
